,S. Agostin,S. Angelo,Angelo Rafael,S. Antonino,S. Aponal,S. Barnaba,S. Basilio,S. Basso,S. Biagio,S. Bartolomeo,S. Canziano,S. Croce,S. Eufemia,S. Felice,S. Fosca,S. Geremia,S. Giacomo dell'Orio,S. Giovanni di Rialto,S. Giovanni Crisostomo,S. Giovanni Battista in Bragora,S. Giovanni Novo,S. Lio,S. Luca,S. Leonardo,S. Marcilian,S. Marco,S. Marcuola,S. Margherita,S. Maria Formosa,S. Maria Maddalena,S. Maria Nova,S. Maria Zobenigo,S. Marina,S. Mattio,S. Maurizio,S. Moisé,S. Nicola,S. Pantalon,S. Paternian,S. Pietro di Castello,S. Polo,S. Samuele,S. Severo,S. Silvestro,S. Simon Grande,S. Sofia,S. Stae,S. Stin,S. Tomà,S. Trovaso,S. Vidal,S. Ziminian,S. Zulian,S. Apostoli
1630-07-05,0,1,0,0.0,1,0,0.0,0,0,0,1,1,2,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,2,0
1630-07-06,0,0,1,0.0,0,0,1.0,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1
1630-07-07,0,0,0,1.0,0,2,0.0,0,0,0,0,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,0
1630-07-08,0,0,0,0.0,2,1,0.0,0,0,0,0,0,2,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,1,0.0,0,2,0,0,0,1,0,0,0,0.0,0.0,0,2,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1
1630-07-09,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,3.0,1.0,0,0,0,0,0,1,0,2.0,0,2.0,0,0,0,0,0,0,1,0,0,3.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,1
1630-07-10,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1.0,2,1.0,1,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-07-11,0,0,0,0.0,1,0,0.0,0,0,0,1,0,0,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1
1630-07-12,0,0,0,1.0,0,0,0.0,0,0,0,0,0,2,1,0.0,0.0,1.0,0,0,0,0,1,0,0,3.0,1,3.0,0,0,0,0,1,0,0,0,2,1.0,0.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-07-13,0,0,0,0.0,1,0,1.0,0,0,0,1,0,1,0,1.0,3.0,0.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2,0,0,0,0
1630-07-14,0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,2.0,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0.0,0,0.0,0.0,0,1,0.0,0,0.0,0,0,0,1,0
1630-07-15,0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,1,0.0,0.0,2,1,0.0,0,0.0,0,0,0,0,1
1630-07-16,0,1,1,0.0,0,1,0.0,0,0,1,0,0,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-07-17,0,0,0,0.0,0,2,0.0,0,0,0,0,1,1,0,0.0,1.0,0.0,0,0,1,1,0,0,0,1.0,0,1.0,1,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,3,0,0.0,0,0.0,0,0,0,1,0
1630-07-18,0,1,0,0.0,0,0,0.0,0,0,0,1,1,2,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0.0,0,0.0,0.0,1,2,0.0,0,0.0,0,0,0,0,0
1630-07-19,0,0,0,0.0,0,1,0.0,0,0,0,1,0,1,0,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,0,1,1.0,0.0,0,2,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1630-07-20,0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,1.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0,0.0,0,0.0,0,1,0,0,0
1630-07-21,0,0,3,0.0,0,0,0.0,0,0,0,1,1,0,0,0.0,0.0,0.0,1,0,2,0,0,0,1,0.0,0,0.0,0,1,0,0,0,0,0,0,2,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-07-22,0,0,1,0.0,0,0,0.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0
1630-07-23,0,0,1,1.0,0,0,0.0,0,0,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,2,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0.0,0,1,0.0,0,0.0,0,0,0,0,0
1630-07-24,1,0,0,0.0,0,0,0.0,0,0,1,0,2,3,0,0.0,2.0,0.0,0,1,0,0,0,0,0,0.0,1,0.0,0,1,0,1,0,0,0,0,2,0.0,0.0,0,0,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-07-25,0,0,0,0.0,1,0,0.0,0,0,1,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0,0,0,2.0,0,2.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-07-26,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0.0,1.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0,0,0,1.0,0.0,0,1,0.0,0,0.0,0.0,0,1,0.0,0,0.0,1,0,0,0,0
1630-07-27,0,0,2,0.0,0,0,1.0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,0,1,0.0,0,0.0,1,0,0,0,0
1630-07-28,0,0,1,0.0,0,0,0.0,0,0,0,0,2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-07-29,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,1,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1
1630-07-30,0,0,1,0.0,0,3,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,3,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1
1630-07-31,0,0,1,0.0,1,0,1.0,0,0,0,0,0,0,0,0.0,1.0,1.0,1,0,0,0,0,0,0,2.0,0,2.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1
1630-08-01,0,1,0,0.0,0,0,0.0,0,0,0,2,0,1,0,0.0,1.0,0.0,0,0,0,0,0,1,0,1.0,0,1.0,0,0,0,0,0,0,1,0,1,1.0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1
1630-08-02,0,1,0,0.0,0,0,0.0,0,1,0,1,0,1,0,1.0,1.0,1.0,0,0,0,0,0,1,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0
1630-08-03,0,1,0,0.0,0,0,0.0,0,1,0,0,2,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0,0.0,2,0,0,0,1,0,0,0,0,0.0,0.0,1,1,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1630-08-04,1,0,0,0.0,0,0,0.0,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,1,0,0,0,2.0,0,2.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,1,0
1630-08-05,0,0,0,0.0,0,1,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-08-06,0,0,0,0.0,0,1,0.0,0,0,0,1,1,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,2,0.0,0,0.0,0.0,0,0,0.0,2,0.0,0,0,0,0,0
1630-08-07,0,0,0,0.0,0,1,0.0,0,0,0,0,2,1,0,0.0,3.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,2,1.0,0.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-08-08,0,0,2,0.0,1,0,0.0,0,0,0,0,0,2,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,2.0,0.0,0,1,0.0,2,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-08-09,0,0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,1,0,1.0,1,1.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0.0,0,1,0.0,0,0.0,1,0,0,0,1
1630-08-10,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,2,0.0,0,0.0,0.0,0,1,0.0,0,0.0,2,0,0,0,1
1630-08-11,0,1,1,0.0,0,0,0.0,0,0,2,0,0,1,0,0.0,1.0,1.0,0,0,0,0,1,1,0,1.0,0,1.0,0,1,0,0,1,1,0,1,0,1.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,2,0,0,0,1
1630-08-12,0,0,0,0.0,1,0,0.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,1,0,0,0,1.0,0,1.0,0,0,1,0,0,0,0,1,1,1.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,2,1
1630-08-13,0,0,0,0.0,0,1,0.0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,1,2,1,1,0,0,1.0,0,1.0,1,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0.0,0,0.0,0.0,0,2,0.0,0,0.0,0,0,1,0,1
1630-08-14,1,0,1,0.0,0,0,0.0,0,0,1,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0
1630-08-15,0,0,1,1.0,2,0,0.0,0,0,1,0,0,0,0,1.0,0.0,1.0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1630-08-16,0,0,1,0.0,0,4,1.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,0.0,1,0,0,0,2,0,0,0,0,1.0,0.0,0,2,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,1
1630-08-17,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0.0,2.0,1.0,0,0,0,0,1,1,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-08-18,0,0,0,0.0,0,1,0.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,1,0,0,2,0,1.0,2,1.0,0,1,0,0,0,0,0,0,1,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-08-19,0,0,2,0.0,0,0,0.0,0,0,1,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,1,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,2,0
1630-08-20,0,0,1,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,2,1,0,1.0,0,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,1,0,1,1
1630-08-21,0,0,0,0.0,0,0,1.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-08-22,0,0,1,0.0,0,0,0.0,0,0,0,0,0,2,0,0.0,1.0,2.0,1,0,0,0,0,1,1,3.0,0,3.0,0,0,0,0,0,0,0,0,5,0.0,0.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-08-23,0,1,0,1.0,2,0,0.0,0,1,0,2,0,0,1,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,4,0.0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,0,0.0,1,0,0,1,2
1630-08-24,0,0,1,0.0,2,1,0.0,0,0,0,0,0,1,0,0.0,0.0,1.0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-08-25,0,1,0,0.0,0,0,1.0,0,1,0,0,0,0,0,0.0,1.0,3.0,0,0,0,0,0,0,0,1.0,0,1.0,2,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,1,0.0,0,0,0,0,0
1630-08-26,0,0,0,1.0,0,0,0.0,0,0,0,1,1,0,1,1.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,1,1.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,1,0.0,1,0,0,1,0
1630-08-27,0,1,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,1,0,1,1,0,0.0,1,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-08-28,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1.0,1.0,2.0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0.0,1,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-08-29,0,1,4,0.0,1,0,0.0,0,0,0,1,1,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,0
1630-08-30,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,3.0,0.0,0,0,0,0,0,0,0,1.0,0,1.0,0,1,0,1,1,0,0,0,1,2.0,0.0,0,1,0.0,2,0.0,0.0,0,1,0.0,1,0.0,0,0,0,0,0
1630-08-31,0,0,1,1.0,0,1,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,1,2.0,0,2.0,1,1,0,0,0,0,0,0,1,0.0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,1,0.0,2,0,0,0,0
1630-09-01,0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,0.0,3.0,0.0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,2
1630-09-02,0,0,1,2.0,0,2,1.0,0,0,0,1,1,0,1,1.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-09-03,0,0,0,0.0,1,0,0.0,0,0,1,1,0,2,1,0.0,1.0,0.0,0,0,0,0,1,0,1,0.0,0,0.0,1,1,1,0,0,1,0,0,1,1.0,0.0,0,2,0.0,1,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,3
1630-09-04,0,0,1,0.0,0,0,0.0,0,0,0,0,0,4,0,0.0,2.0,0.0,0,0,0,1,0,0,0,0.0,0,1.0,0,0,0,0,0,1,2,0,3,2.0,0.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-09-05,0,0,0,0.0,0,1,0.0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0.0,0,2.0,0,1,0,0,0,0,0,0,3,2.0,0.0,0,5,0.0,0,0.0,0.0,0,1,0.0,0,0.0,1,0,0,0,1
1630-09-06,0,1,2,0.0,1,0,0.0,0,1,0,2,0,0,1,1.0,0.0,1.0,0,0,1,0,0,0,0,0.0,0,1.0,0,0,0,2,0,1,0,0,5,1.0,0.0,0,5,0.0,0,0.0,0.0,0,0,0.0,0,1.0,1,0,0,0,3
1630-09-07,0,1,0,0.0,0,1,0.0,0,0,0,2,2,0,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0.0,0,1.0,1,0,0,1,2,0,0,0,2,0.0,0.0,0,3,0.0,1,0.0,0.0,0,1,0.0,0,0.0,0,0,0,3,0
1630-09-08,0,1,0,0.0,0,1,0.0,0,0,1,1,1,0,2,0.0,0.0,1.0,0,0,1,1,0,1,0,0.0,0,1.0,0,0,0,0,0,3,0,1,0,0.0,0.0,0,4,0.0,0,0.0,0.0,0,0,0.0,1,0.0,1,0,0,0,1
1630-09-09,1,0,4,0.0,1,1,1.0,0,0,0,2,0,2,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0,1.0,1,1,0,0,0,0,0,0,3,0.0,0.0,0,1,0.0,0,0.0,0.0,0,1,0.0,0,0.0,1,0,0,0,0
1630-09-10,1,1,1,0.0,0,1,0.0,0,0,0,2,0,2,0,0.0,1.0,0.0,1,0,0,0,0,0,0,0.0,0,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0
1630-09-11,0,1,0,0.0,0,1,0.0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,0,0.0,0,1.0,1,0,0,0,1,0,0,0,1,2.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,2.0,0,0,0,0,1
1630-09-12,0,0,1,0.0,1,0,0.0,0,1,0,2,1,1,0,0.0,0.0,2.0,0,1,0,0,0,0,0,0.0,0,2.0,0,1,0,0,0,0,0,0,2,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1630-09-13,0,0,0,0.0,1,1,0.0,0,0,0,1,0,2,0,0.0,2.0,0.0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,3,0.0,0,0.0,0.0,0,1,0.0,0,0.0,0,0,0,0,0
1630-09-14,0,2,1,1.0,0,1,0.0,0,0,1,1,0,0,0,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,1,2,0,0,1,0,0,0,0,1.0,0.0,0,2,0.0,2,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,3
1630-09-15,0,2,1,1.0,0,0,1.0,0,0,1,0,1,0,0,0.0,1.0,0.0,1,0,1,0,0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,0,4,1.0,0.0,1,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,1,3
1630-09-16,0,0,2,0.0,0,1,0.0,0,0,0,0,1,1,1,0.0,4.0,0.0,0,1,0,0,0,1,0,0.0,0,1.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1
1630-09-17,0,0,0,1.0,1,0,1.0,0,0,1,0,1,2,0,0.0,1.0,1.0,0,0,0,0,0,1,0,0.0,0,2.0,1,0,0,0,0,0,0,0,0,1.0,0.0,0,5,0.0,0,0.0,0.0,0,2,0.0,0,0.0,0,1,1,0,2
1630-09-18,0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,2,0.0,4.0,0.0,0,0,3,0,0,0,0,0.0,0,1.0,0,1,0,0,1,0,0,0,2,0.0,0.0,0,9,0.0,0,0.0,0.0,0,1,0.0,0,0.0,0,0,0,2,1
1630-09-19,0,2,1,0.0,0,1,0.0,0,0,0,4,1,0,1,0.0,2.0,1.0,0,0,1,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,5,3.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,1,0
1630-09-20,0,0,1,0.0,0,0,1.0,0,0,1,0,0,0,0,0.0,5.0,0.0,0,0,3,0,0,1,1,0.0,0,1.0,0,0,0,0,0,1,0,0,6,0.0,0.0,1,6,0.0,2,0.0,0.0,0,0,0.0,0,0.0,2,0,1,1,0
1630-09-21,0,2,1,0.0,1,1,0.0,0,0,0,2,0,0,1,1.0,1.0,1.0,0,0,1,1,0,0,0,0.0,0,0.0,1,1,0,0,1,0,0,0,0,1.0,0.0,0,9,0.0,1,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1630-09-22,0,2,0,0.0,1,1,0.0,0,0,0,0,1,0,0,0.0,2.0,3.0,0,0,0,2,0,0,0,0.0,0,4.0,0,1,0,0,0,0,0,0,4,0.0,0.0,0,3,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,1,1,0
1630-09-23,0,0,0,0.0,0,1,0.0,0,0,2,0,0,0,0,0.0,1.0,0.0,0,0,1,1,0,0,0,0.0,0,1.0,0,2,0,0,0,0,0,0,3,0.0,0.0,0,4,0.0,0,0.0,0.0,0,1,0.0,0,0.0,1,0,2,1,1
1630-09-24,0,0,1,1.0,0,0,0.0,0,0,0,3,0,1,0,0.0,3.0,2.0,0,0,0,2,0,0,0,0.0,0,2.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0,3,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,2,1
1630-09-25,0,2,0,1.0,0,1,1.0,0,0,0,0,1,0,0,1.0,0.0,1.0,0,0,1,1,0,0,0,0.0,0,1.0,0,3,0,1,0,0,0,0,1,0.0,0.0,0,9,0.0,0,0.0,0.0,0,4,0.0,0,0.0,0,0,0,0,0
1630-09-26,0,2,0,1.0,1,1,0.0,0,0,0,4,0,1,1,0.0,2.0,2.0,0,0,0,0,1,1,0,0.0,0,0.0,1,1,0,1,1,1,0,0,1,1.0,0.0,0,5,0.0,0,0.0,0.0,0,2,0.0,0,0.0,0,0,0,1,0
1630-09-27,0,0,2,2.0,0,0,0.0,0,1,5,0,0,1,0,1.0,2.0,1.0,0,0,2,0,0,0,0,0.0,0,4.0,0,1,0,1,1,0,0,0,2,0.0,0.0,0,5,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,1,0,0
1630-09-28,0,0,0,0.0,1,0,1.0,0,0,2,0,0,1,0,0.0,4.0,1.0,1,0,4,1,0,1,0,0.0,0,2.0,0,2,0,0,1,0,0,0,3,0.0,0.0,0,8,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1
1630-09-29,1,1,1,1.0,0,2,0.0,0,0,1,4,2,0,1,1.0,4.0,3.0,0,2,1,0,0,0,0,0.0,0,4.0,1,4,0,0,0,1,0,0,3,1.0,0.0,0,12,0.0,0,0.0,0.0,0,0,0.0,0,0.0,4,0,0,1,6
1630-09-30,0,0,0,1.0,0,0,1.0,1,0,1,2,1,1,0,0.0,2.0,2.0,0,2,2,1,0,0,0,0.0,0,3.0,0,3,0,2,0,1,0,0,4,1.0,0.0,0,8,0.0,2,0.0,0.0,0,1,0.0,0,2.0,0,1,0,0,3
1630-10-01,0,3,1,3.0,1,1,0.0,0,0,2,1,0,4,0,0.0,6.0,1.0,2,0,6,1,0,0,0,0.0,0,2.0,0,2,0,0,1,0,0,0,4,1.0,0.0,0,5,0.0,0,0.0,0.0,0,2,0.0,0,0.0,1,0,3,2,3
1630-10-02,0,0,3,0.0,1,1,0.0,0,0,1,6,3,3,1,1.0,0.0,3.0,0,0,3,1,0,1,0,0.0,0,4.0,0,1,0,0,0,0,0,1,6,2.0,0.0,1,6,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,1,1,2,4
1630-10-03,0,0,0,1.0,0,1,0.0,1,0,3,4,1,0,0,0.0,0.0,1.0,0,1,3,1,0,1,0,0.0,0,3.0,0,0,1,0,2,0,0,0,3,0.0,0.0,0,9,0.0,1,0.0,0.0,0,2,0.0,0,0.0,1,0,1,5,3
1630-10-04,0,1,2,0.0,2,0,1.0,0,1,1,3,0,3,2,0.0,0.0,3.0,2,1,6,1,0,2,0,0.0,0,6.0,0,0,0,0,0,0,0,0,8,1.0,0.0,1,7,0.0,0,0.0,0.0,0,0,0.0,0,1.0,0,0,2,7,5
1630-10-05,0,1,0,0.0,1,2,2.0,0,1,0,1,0,1,2,0.0,4.0,3.0,0,1,1,3,0,0,0,0.0,0,2.0,1,6,0,2,1,1,0,0,5,2.0,0.0,0,7,0.0,0,0.0,0.0,0,2,0.0,1,0.0,2,0,2,0,0
1630-10-06,0,1,5,1.0,0,1,0.0,2,0,1,4,2,2,0,0.0,3.0,2.0,3,0,2,3,1,3,1,0.0,0,3.0,0,5,0,0,1,1,0,1,5,1.0,0.0,0,6,0.0,0,0.0,0.0,0,1,0.0,0,0.0,1,1,4,3,3
